Name,URL,Image,Type,Interface,Capacity,Price / GB,Color,Price
Western Digital ELEMENTS,https://pcpartpicker.com/product/gj4NnQ/western-digital-external-hard-drive-wdbwlg0040hbknesn,https://cdna.pcpartpicker.com/static/forever/images/product/3e5b488300df4e480c93ff7477abfa34.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,4000 GB,$0.039,,154.99
Corsair EX400U SURVIVOR,https://pcpartpicker.com/product/G39nTW/corsair-ex400u-survivor-2-tb-external-ssd-cssd-ex400us2tb,https://cdna.pcpartpicker.com/static/forever/images/product/7de1b26686c13cab970fb8942b0fd7d2.256p.jpg,Portable,USB Type-C 4.0 Gen 3x2,2000 GB,$0.166,Black,332.87
Apricorn Padlock DT FIPS,https://pcpartpicker.com/product/vgxRsY/apricorn-padlock-dt-fips-18-tb-external-hard-drive-adt3pl256f18tb,https://m.media-amazon.com/images/I/41YQ9rVd8yL.jpg,Desktop,USB Type-A 3.2 Gen 1,18000 GB,$0.051,Black,919.90
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/QxdG3C/apricorn-aegis-fortress-l3-8-tb-external-ssd-afl3-s8tb,https://cdna.pcpartpicker.com/static/forever/images/product/2010c5bea568ae5a6a216cea14e52f9e.256p.jpg,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",8000 GB,$0.462,Black,3699.00
Samsung T7 Portable,https://pcpartpicker.com/product/RG4BD3/samsung-t7-portable-1-tb-external-ssd-mu-pc1t0ham,https://cdna.pcpartpicker.com/static/forever/images/product/e9e6482a988084b1908a7022537ce97f.256p.jpg,Portable,USB Type-C 3.2 Gen 1,1000 GB,,Blue / Silver,
Samsung T5,https://pcpartpicker.com/product/KbgzK8/samsung-t5-1-tb-external-ssd-mu-pa1t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/6cfd5346e71b782269c85f891a591163.256p.jpg,Portable,USB Type-C 3.2 Gen 1,1000 GB,,,
Seagate Backup Plus Portable,https://pcpartpicker.com/product/nxyV3C/seagate-backup-plus-portable-5-tb-external-ssd-sthp5000400,https://cdna.pcpartpicker.com/static/forever/images/product/118b512dce71604bbb370d3e91d711d8.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,$0.029,Black,144.00
Western Digital easystore,https://pcpartpicker.com/product/TZwypg/western-digital-easystore-16-tb-external-hard-drive-wdbama0160hbk-nesn,/static/forever/img/no-image.png,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",16000 GB,$0.019,Black,299.99
Western Digital ELEMENTS,https://pcpartpicker.com/product/Vy9tt6/western-digital-elements-14-tb-external-hard-drive-wdbwlg0140hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/12832797d2174404249e3b291bdb9545.256p.jpg,Desktop,USB Type-A 3.2 Gen 2,14000 GB,$0.021,Black,299.99
Crucial X10,https://pcpartpicker.com/product/nhvscf/crucial-x10-4-tb-external-ssd-ct4000x10ssd9,https://cdna.pcpartpicker.com/static/forever/images/product/b8485858947a843c6f3275344ffec332.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.100,Blue,399.99
Western Digital ELEMENTS,https://pcpartpicker.com/product/RJvqqs/western-digital-elements-6-tb-external-hard-drive-wdbwlg0060hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/f9fec56563f32bc25c41f6a3e218af84.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,6000 GB,$0.029,Black,174.99
Crucial X9 Pro,https://pcpartpicker.com/product/spzXsY/crucial-x9-pro-1-tb-external-ssd-ct1000x9prossd902,https://m.media-amazon.com/images/I/311bqYQb7uL.jpg,Portable,USB Type-C 3.2 Gen 2,1000 GB,,Silver,
SanDisk Professional PRO-Blade Transport,https://pcpartpicker.com/product/7zdG3C/sandisk-professional-pro-blade-transport-4-tb-external-ssd-sdpm2nb-004t-gband,https://cdna.pcpartpicker.com/static/forever/images/product/b8cca258925c2f095586670a3e2607c3.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.132,Black,529.99
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/yFYmP6/sandisk-extreme-portable-v2-500-gb-external-ssd-sdssde61-500g-g25,https://cdna.pcpartpicker.com/static/forever/images/product/47b0f29ce9983baefd3004486a38c942.256p.jpg,Portable,USB Type-C 3.2 Gen 1,500 GB,$0.360,Black / Orange,179.99
Seagate Expansion,https://pcpartpicker.com/product/4zQRsY/seagate-expansion-8tb-external-hard-drive-steb8000100,https://cdna.pcpartpicker.com/static/forever/images/product/d8a6b207e9f0389356293baf02a29de7.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,8000 GB,,,
Samsung T9 Portable,https://pcpartpicker.com/product/pFHqqs/samsung-t9-portable-1-tb-external-ssd-mu-pg1t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/9c7e7614e3d9f1ebff03ccc8af23721f.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,1000 GB,$0.225,Black,224.99
Samsung T7 Shield,https://pcpartpicker.com/product/7X8bt6/samsung-t7-shield-2-tb-external-ssd-mu-pe2t0ram,https://cdna.pcpartpicker.com/static/forever/images/product/4abc8bd39175c1c22db4085bd550e7f9.256p.jpg,Portable,USB Type-C 3.2 Gen 2,2000 GB,$0.200,Blue,399.99
TEAMGROUP T-Create CinemaPr P31,https://pcpartpicker.com/product/9nRwrH/teamgroup-t-create-cinemapr-p31-4-tb-external-ssd-tpsefy004t0c302,https://cdna.pcpartpicker.com/static/forever/images/product/6838abd911e29f483735af2983b6b8b1.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.116,Black,462.99
Seagate Backup Plus Slim,https://pcpartpicker.com/product/4cdxFT/seagate-backup-plus-slim-1-tb-external-hard-drive-sthn1000400,https://cdna.pcpartpicker.com/static/forever/images/product/948ff978be37e52e1ad00302589ef204.256p.jpg,Portable,USB Type-A 3.2 Gen 1,1000 GB,,Black,
Western Digital WD_BLACK P10,https://pcpartpicker.com/product/yTMTwP/western-digital-wd_black-p10-4-tb-external-hard-drive-wdba3a0040bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/03701f873b127d3ea1a5a38a2970726c.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.035,Black,138.69
TEAMGROUP PD1000,https://pcpartpicker.com/product/3yYRsY/teamgroup-pd1000-512-gb-external-ssd-t8fed6512g0c108,https://cdna.pcpartpicker.com/static/forever/images/product/cd848e72cadcabe963b21660a06ce411.256p.jpg,Portable,USB Type-C 3.2 Gen 2,512 GB,$0.195,Teal,99.99
Crucial X9 Pro,https://pcpartpicker.com/product/yWzXsY/crucial-x9-pro-2-tb-external-ssd-ct2000x9prossd902,https://m.media-amazon.com/images/I/311bqYQb7uL.jpg,Portable,USB Type-C 3.2 Gen 2,2000 GB,$0.116,Silver,232.40
Western Digital My Passport Ultra Portable,https://pcpartpicker.com/product/Jcbkcf/western-digital-external-hard-drive-wdbbkd0020bbknesn,https://m.media-amazon.com/images/I/41AagnsuY1L.jpg,Portable,USB Type-A 3.2 Gen 1,2000 GB,$0.080,,159.99
Seagate One Touch,https://pcpartpicker.com/product/BDGbt6/seagate-one-touch-4-tb-external-hard-drive-stlc4000400,https://cdna.pcpartpicker.com/static/forever/images/product/a3ab8ad288e6f94b6bed6d8b16b20048.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,4000 GB,,Black,
Seagate One Touch,https://pcpartpicker.com/product/XtzhP6/seagate-one-touch-5-tb-external-hard-drive-stkc5000400,https://cdna.pcpartpicker.com/static/forever/images/product/03ddafa20e950c93292f14ac141f51ab.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,$0.032,Black,159.30
Western Digital easystore,https://pcpartpicker.com/product/6szXsY/western-digital-easystore-24-tb-external-hard-drive-wdbama0240hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/58dc01c3593c676a71ad4da89dd1cf8d.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,24000 GB,$0.026,Black,619.99
Western Digital WD_BLACK P50,https://pcpartpicker.com/product/GZjNnQ/western-digital-wd_black-p50-1-tb-external-ssd-wdba3s0010bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/5c42db8966e5db4c748ab44134cd11e2.256p.jpg,Portable,USB Type-C 3.2 Gen 1,1000 GB,$0.326,Black / Silver,325.89
Seagate Expansion,https://pcpartpicker.com/product/F46BD3/seagate-external-hard-drive-stbv4000100,https://images-na.ssl-images-amazon.com/images/I/31Q3Kc-kOpL.jpg,Desktop,USB Type-A 3.2 Gen 1,4000 GB,,,
SanDisk Professional PRO-Blade Transport,https://pcpartpicker.com/product/h2hFf7/sandisk-professional-pro-blade-transport-1-tb-external-ssd-sdpm2nb-001t-gband,https://cdna.pcpartpicker.com/static/forever/images/product/b8cca258925c2f095586670a3e2607c3.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,1000 GB,$0.240,Black,239.99
Seagate Barracuda Fast,https://pcpartpicker.com/product/jhYQzy/seagate-barracuda-fast-2-tb-external-ssd-stjm2000400,https://cdna.pcpartpicker.com/static/forever/images/product/108fa03fe79ae8b0d146db169fcb2aeb.256p.jpg,Portable,USB Type-C,2000 GB,,Black,
Verbatim Vx460,https://pcpartpicker.com/product/Csn8TW/verbatim-vx460-128-gb-external-ssd-70381,https://cdna.pcpartpicker.com/static/forever/images/product/7bfaceb4129fdae0ef83b5b81c3b8803.256p.jpg,Portable,USB Type-A 3.2 Gen 1,128 GB,,Black,
Seagate Expansion,https://pcpartpicker.com/product/Vx3mP6/seagate-expansion-5-tb-external-hard-drive-stea5000402,https://cdna.pcpartpicker.com/static/forever/images/product/a8b1a3c3a49dc5d9e411d9e4bf50614e.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,$0.040,Black,199.90
Western Digital ELEMENTS,https://pcpartpicker.com/product/Zjfp99/western-digital-external-hard-drive-wdbu6y0015bbknesn,https://images-na.ssl-images-amazon.com/images/I/31xY-VUyQCL.jpg,Portable,USB Type-A 3.2 Gen 1,1500 GB,,,
Corsair EX300U,https://pcpartpicker.com/product/frXMnQ/corsair-ex300u-1-tb-external-ssd-cssd-ex300u1tb,https://cdna.pcpartpicker.com/static/forever/images/product/8c2e0af3adc332b7e3d19e3d77098f91.256p.jpg,Portable,USB Type-C 3.2 Gen 2,1000 GB,$0.165,Black,164.99
Samsung T7 Shield,https://pcpartpicker.com/product/9rKKHx/samsung-t7-shield-2-tb-external-ssd-mu-pe2t0sam,https://cdna.pcpartpicker.com/static/forever/images/product/9535dcc9d6613903c9baef79bc12a852.256p.jpg,Portable,USB Type-C 3.2 Gen 2,2000 GB,$0.200,Black,399.99
Kingston XS1000,https://pcpartpicker.com/product/MhFmP6/kingston-xs1000-2-tb-external-ssd-sxs10002000g,https://cdna.pcpartpicker.com/static/forever/images/product/9c85da5d4b5eba4e9d237d89994c2fa2.256p.jpg,Portable,USB Type-C 3.2 Gen 2,2000 GB,$0.118,Black,235.99
Kingston XS2000,https://pcpartpicker.com/product/DLFmP6/kingston-xs2000-1-tb-external-ssd-sxs20001000g,https://cdna.pcpartpicker.com/static/forever/images/product/b97835316fe943e5bb3e249f721be27a.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,1000 GB,$0.225,Silver,224.99
MSI DATAMAG,https://pcpartpicker.com/product/7LFCmG/msi-datamag-2-tb-external-ssd-datamag2tb,https://cdna.pcpartpicker.com/static/forever/images/product/fa44613346e36fa2126f9254ed9f4f47.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,2000 GB,$0.100,Black,199.99
Sabrent Rocket Pro,https://pcpartpicker.com/product/XXqrxr/sabrent-rocket-pro-512-gb-external-ssd-sb-512-pro,https://cdna.pcpartpicker.com/static/forever/images/product/845735b9f7967158c8517725bd9cb662.256p.jpg,Portable,USB Type-C 3.2 Gen 2,512 GB,,Silver,
Apricorn Aegis Padlock 3.0,https://pcpartpicker.com/product/T3n9TW/apricorn-aegis-padlock-30-4-tb-external-ssd-a25-3pl256-s4000,https://cdna.pcpartpicker.com/static/forever/images/product/83210f52748d3c2eec1d8174f92a0ae0.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.384,Black,1536.99
Western Digital My Passport,https://pcpartpicker.com/product/mvH8TW/western-digital-1-tb-external-hard-drive-wdbyvg0010bbl-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/bf49ac98c9d676d08a018e598868eaa0.256p.jpg,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.085,Blue,84.99
Western Digital easystore,https://pcpartpicker.com/product/hxbCmG/western-digital-easystore-14-tb-external-hard-drive-wdbcka0140hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/9185f24c3df29b720ee9e05e9981bebf.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,14000 GB,,,
Apricorn ASSD-3PL256-120F,https://pcpartpicker.com/product/QntWGX/apricom-external-hard-drive-assd3pl256120f,/static/forever/img/no-image.png,Desktop,USB Type-A 2.0,120 GB,,,
Seagate Expansion,https://pcpartpicker.com/product/BccMnQ/seagate-external-hard-drive-steb5000100,https://m.media-amazon.com/images/I/41rwokBlU3L.jpg,Desktop,USB Type-A 3.2 Gen 1,5000 GB,,,
Apricorn Aegis Padlock 3.0,https://pcpartpicker.com/product/ZPdG3C/apricorn-aegis-padlock-30-16-tb-external-ssd-a25-3pl256-s16tb,https://cdna.pcpartpicker.com/static/forever/images/product/ccb4e4d336f5c604e36d82ed3c8675ca.256p.jpg,Portable,USB Type-A 3.2 Gen 1,16000 GB,$0.331,Black,5299.99
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/qQvD4D/apricorn-aegis-fortress-l3-2-tb-external-ssd-afl3-s2tb,https://cdna.pcpartpicker.com/static/forever/images/product/6f85911d66b387874e4d15cd1e055d89.256p.jpg,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",2000 GB,$0.368,Black,736.99
Toshiba Canvio Connect II,https://pcpartpicker.com/product/C8LFf7/toshiba-canvio-connect-ii-1-tb-external-hard-drive-hdtc810xk3a1,https://m.media-amazon.com/images/I/315hLp6LUaL.jpg,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.150,Black,149.99
Seagate Barracuda Fast,https://pcpartpicker.com/product/BsjNnQ/seagate-barracuda-fast-1-tb-external-ssd-stjm1000400,https://m.media-amazon.com/images/I/51D60eQZCnL.jpg,Portable,USB Type-C,1000 GB,,Black,
Samsung T7 Shield,https://pcpartpicker.com/product/t8Gbt6/samsung-t7-shield-1-tb-external-ssd-mu-pe1t0kam,https://cdna.pcpartpicker.com/static/forever/images/product/e97a5f6c9857448e29670a4252bc09cb.256p.jpg,Portable,USB Type-C 3.2 Gen 2,1000 GB,$0.225,Beige,224.99
Western Digital My Passport,https://pcpartpicker.com/product/zRLwrH/western-digital-4-tb-external-hard-drive-wdbpkj0040bwt-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/ed3ec77c9a1f78b68641546087afb906.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.040,White,159.99
Western Digital My Passport,https://pcpartpicker.com/product/fwcRsY/western-digital-my-passport-4-tb-external-hard-drive-wdbyft0040bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/254ffb6f84cdd9afe8cb94100cfc440d.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,,Black,
Samsung T5,https://pcpartpicker.com/product/QNm323/samsung-t5-2-tb-external-ssd-mu-pa2t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/6cfd5346e71b782269c85f891a591163.256p.jpg,Portable,USB Type-C 3.2 Gen 1,2000 GB,$0.224,Black,447.99
Samsung T5,https://pcpartpicker.com/product/qXQG3C/samsung-t5-500-gb-external-ssd-mu-pa500bam,https://cdna.pcpartpicker.com/static/forever/images/product/c78f7c0d20d5642b68843ce6892f8953.256p.jpg,Portable,USB Type-C 3.2 Gen 1,500 GB,,,
Toshiba Canvio Basics 3.0,https://pcpartpicker.com/product/Fh4gXL/toshiba-external-hard-drive-hdtb220xk3ca,https://images-na.ssl-images-amazon.com/images/I/31dKBEchc9L.jpg,Portable,,2000 GB,,,
Western Digital My Passport,https://pcpartpicker.com/product/ZD6qqs/western-digital-5-tb-external-hard-drive-wdbpkj0050brd-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/a48e57294081d3d5d0c8000f5f770b4a.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,$0.032,Red,159.25
Crucial X8,https://pcpartpicker.com/product/ngGbt6/crucial-x8-2-tb-external-ssd-ct2000x8ssd9,https://cdna.pcpartpicker.com/static/forever/images/product/45a7a3bfd894864872981486e2373ae1.256p.jpg,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 2",2000 GB,$0.147,Black,294.00
Corsair EX100U,https://pcpartpicker.com/product/n67G3C/corsair-ex100u-2-tb-external-ssd-cssd-ex100u2tb,https://cdna.pcpartpicker.com/static/forever/images/product/1fb9c6151730e5538c614d8705ce534c.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,2000 GB,,Black,
Kingston XS2000,https://pcpartpicker.com/product/wBGhP6/kingston-xs2000-500-gb-external-ssd-sxs2000500g,https://cdna.pcpartpicker.com/static/forever/images/product/b97835316fe943e5bb3e249f721be27a.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,500 GB,$0.190,Silver,94.99
Corsair EX400U SURVIVOR,https://pcpartpicker.com/product/LrXMnQ/corsair-ex400u-survivor-1-tb-external-ssd-cssd-ex400us1tb,https://cdna.pcpartpicker.com/static/forever/images/product/d3572a2cb2532f0cb8ef3e0602427725.256p.jpg,Portable,USB Type-C 4.0 Gen 3x2,1000 GB,$0.265,Black,264.99
Crucial X9 Pro,https://pcpartpicker.com/product/dbTZxr/crucial-x9-pro-4-tb-external-ssd-ct4000x9prossd902,https://m.media-amazon.com/images/I/311bqYQb7uL.jpg,Portable,USB Type-C 3.2 Gen 2,4000 GB,$0.101,Silver,405.00
Corsair EX100U,https://pcpartpicker.com/product/fywypg/corsair-ex100u-1-tb-external-ssd-cssd-ex100u1tb,https://cdna.pcpartpicker.com/static/forever/images/product/1fb9c6151730e5538c614d8705ce534c.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,1000 GB,,Black,
Western Digital My Book,https://pcpartpicker.com/product/8vYQzy/western-digital-my-book-12-tb-external-hard-drive-wdbbgb0120hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/9818413343f21650ae837b7a9472dba6.256p.jpg,Desktop,USB Type-A 3.2 Gen 2,12000 GB,$0.025,Black,299.99
Corsair EX400U,https://pcpartpicker.com/product/G8JBD3/corsair-ex400u-2-tb-external-ssd-cssd-ex400u2tb,https://cdna.pcpartpicker.com/static/forever/images/product/828b8a7dc129a36eab7452c860af056a.256p.jpg,Portable,USB Type-C 4.0 Gen 3x2,2000 GB,$0.150,Black,299.99
Samsung T5 EVO Portable,https://pcpartpicker.com/product/WwpQzy/samsung-t5-evo-portable-4-tb-external-ssd-mu-ph4t0sam,https://cdna.pcpartpicker.com/static/forever/images/product/e59e18d45f84834f029764bc2ff4c3cf.256p.jpg,Portable,USB Type-C 3.2 Gen 1,4000 GB,$0.145,Black,579.99
Samsung T7 Portable,https://pcpartpicker.com/product/9WRgXL/samsung-t7-portable-2-tb-external-ssd-mu-pc2t0ham,https://cdna.pcpartpicker.com/static/forever/images/product/7b18d4178e7271476367524753bfdcc5.256p.jpg,Portable,USB Type-C 3.2 Gen 1,2000 GB,,Blue / Silver,
Crucial X10,https://pcpartpicker.com/product/fcgZxr/crucial-x10-2-tb-external-ssd-ct2000x10ssd9,https://cdna.pcpartpicker.com/static/forever/images/product/b8485858947a843c6f3275344ffec332.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,2000 GB,$0.119,Blue,238.99
Lexar SL200,https://pcpartpicker.com/product/xtfxFT/lexar-sl200-1-tb-external-ssd-lsl200x001t-rnnnu,https://cdna.pcpartpicker.com/static/forever/images/product/37b20e351178a81a6f22132e98bfa937.256p.jpg,Portable,USB Type-C 3.2 Gen 1,1000 GB,,Black,
MSI DATAMAG,https://pcpartpicker.com/product/96pD4D/msi-datamag-1-tb-external-ssd-datamag1tb,https://cdna.pcpartpicker.com/static/forever/images/product/4670482933946eec0a4e08e0cccfcb75.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,1000 GB,,Black,
Lexar ARMOR 700,https://pcpartpicker.com/product/jZNYcf/lexar-armor-700-4-tb-external-ssd-lar700x004t-rnbng,https://cdna.pcpartpicker.com/static/forever/images/product/4417412c6baf3790680ba75f2b25bc8c.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.150,Black,599.99
Western Digital easystore,https://pcpartpicker.com/product/JmX2FT/western-digital-easystore-8tb-external-hard-drive-wdbcka0080hbk-nesn,https://m.media-amazon.com/images/I/31cb0hkugzL.jpg,Desktop,USB Type-A 3.2 Gen 1,8000 GB,$0.028,,220.00
Western Digital ELEMENTS,https://pcpartpicker.com/product/P3BFf7/western-digital-elements-24-tb-external-hard-drive-wdbwlg0240hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/341677c69ea9f9175a501ca9445ce554.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,24000 GB,$0.023,Black,549.99
Western Digital My Book Duo,https://pcpartpicker.com/product/FPFKHx/western-digital-my-book-duo-16-tb-external-hard-drive-wdbfbe0160jbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/1b25f27412f2de26de0fffaccbe435ac.256p.jpg,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000 GB,$0.032,Black,509.99
SanDisk Professional PRO-Blade Transport,https://pcpartpicker.com/product/HpfnTW/sandisk-professional-pro-blade-transport-2-tb-external-ssd-sdpm2nb-002t-gband,https://cdna.pcpartpicker.com/static/forever/images/product/b8cca258925c2f095586670a3e2607c3.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,2000 GB,$0.185,Black,369.99
Crucial X10 Pro,https://pcpartpicker.com/product/PJgrxr/crucial-x10-pro-1-tb-external-ssd-ct1000x10prossd902,https://m.media-amazon.com/images/I/31wcRmA4PcL.jpg,Portable,USB Type-C 3.2 Gen 2x2,1000 GB,$0.210,Black,209.94
Crucial X6,https://pcpartpicker.com/product/YFvdnQ/crucial-x6-2-tb-external-ssd-ct2000x6ssd9,https://cdna.pcpartpicker.com/static/forever/images/product/0ad02a4971629a3620c6c04c9a55c1d0.256p.jpg,Portable,USB Type-C 3.2 Gen 2,2000 GB,,Black,
LaCie Rugged Mini,https://pcpartpicker.com/product/WpyFf7/lacie-external-hard-drive-301558,https://cdna.pcpartpicker.com/static/forever/images/product/4c35be8041a39900a4aa0c744eb3881b.256p.jpg,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.080,,79.99
Seagate Expansion,https://pcpartpicker.com/product/8TsV3C/seagate-expansion-18-tb-external-hard-drive-stkp18000400,https://cdna.pcpartpicker.com/static/forever/images/product/b9def4a22dc37f70798ad8fe780e08ec.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,18000 GB,,Black,
Seagate One Touch,https://pcpartpicker.com/product/y2JgXL/seagate-one-touch-4-tb-external-hard-drive-stkc4000400,https://cdna.pcpartpicker.com/static/forever/images/product/e77e81baf889eb08f593d855e20442cf.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,,Black,
Sabrent Rocket XTRM-Q,https://pcpartpicker.com/product/jZBG3C/sabrent-rocket-xtrm-q-16-tb-external-ssd-sb-dxmq-8x2,https://m.media-amazon.com/images/I/31oWEyyFvdS.jpg,Desktop,USB Type-C 3.2 Gen 2,16000 GB,,,
Seagate One Touch,https://pcpartpicker.com/product/frddnQ/seagate-one-touch-18-tb-external-hard-drive-stlc18000400,https://cdna.pcpartpicker.com/static/forever/images/product/a3ab8ad288e6f94b6bed6d8b16b20048.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,18000 GB,,Black,
Seagate Expansion,https://pcpartpicker.com/product/mFgFf7/seagate-expansion-14-tb-external-hard-drive-steb14000402,https://m.media-amazon.com/images/I/51Tg6O3vf2L.jpg,Desktop,USB Type-A 3.2 Gen 1,14000 GB,,Black,
G-Technology G-DRIVE,https://pcpartpicker.com/product/FHZ2FT/g-technology-2tb-external-hard-drive-0g02530,https://m.media-amazon.com/images/I/31gB0pmHadL.jpg,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",2000 GB,,,
Toshiba Canvio Desk,https://pcpartpicker.com/product/JpZQzy/toshiba-external-hard-drive-hdwc240xk3j1,https://images-na.ssl-images-amazon.com/images/I/31X4685xV0L.jpg,Desktop,USB Type-A 3.2 Gen 1,4000 GB,,,
Toshiba Canvio Desk,https://pcpartpicker.com/product/w46BD3/toshiba-external-hard-drive-hdwc130xk3j1,https://m.media-amazon.com/images/I/31hvVtsuZoL.jpg,Desktop,USB Type-A 3.2 Gen 1,3000 GB,,,
Toshiba Canvio Desk,https://pcpartpicker.com/product/PyvRsY/toshiba-external-hard-drive-hdwc120xk3j1,https://m.media-amazon.com/images/I/315vtViFalL.jpg,Desktop,USB Type-A 3.2 Gen 1,2000 GB,,,
Western Digital My Book Essential,https://pcpartpicker.com/product/bY4gXL/western-digital-external-hard-drive-wdbacw0010hbknesn,https://m.media-amazon.com/images/I/21dmfW9AkSL.jpg,Desktop,USB Type-A 3.2 Gen 1,1000 GB,,,
Buffalo Technology DriveStation,https://pcpartpicker.com/product/g2phP6/buffalo-technology-external-hard-drive-hdhs10tq,https://m.media-amazon.com/images/I/31dh6T9m-RL.jpg,Desktop,"IEEE 1394A 6-Pin, IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 2.0",1000 GB,,,
Apricorn Aegis Fortress,https://pcpartpicker.com/product/rhLdnQ/apricorn-aegis-fortress-16-tb-external-ssd-a25-3pl256-s16tbf,https://m.media-amazon.com/images/I/41xvYCxsLWL.jpg,Portable,USB Type-A 3.2 Gen 1,16000 GB,$0.336,Black,5369.00
Apricorn Aegis Fortress,https://pcpartpicker.com/product/kyrqqs/apricorn-aegis-fortress-8-tb-external-ssd-a25-3pl256-s8000f,https://cdna.pcpartpicker.com/static/forever/images/product/669d864cd4263b26a957ba7af5cb03f7.256p.jpg,Portable,USB Type-A 3.2 Gen 1,8000 GB,$0.436,Black,3492.00
Apricorn Aegis Fortress,https://pcpartpicker.com/product/8srqqs/apricorn-aegis-fortress-2-tb-external-ssd-a25-3pl256-s2000f,https://cdna.pcpartpicker.com/static/forever/images/product/0c19916caf2fc58f89d1621b90f1fcfc.256p.jpg,Portable,USB Type-A 3.2 Gen 1,2000 GB,$0.365,Black,730.99
Silicon Power PC60,https://pcpartpicker.com/product/KkzXsY/silicon-power-pc60-256-gb-external-ssd-sp256gbpsdpc60ck,https://cdna.pcpartpicker.com/static/forever/images/product/b89839cf227ea50107768254cce85084.256p.jpg,Portable,USB Type-C 3.2 Gen 2,256 GB,,Black,
Silicon Power PC60,https://pcpartpicker.com/product/FxWJ7P/silicon-power-pc60-512-gb-external-ssd-sp512gbpsdpc60ck,https://cdna.pcpartpicker.com/static/forever/images/product/275a24500b1d24310210ee58bd3b3a7e.256p.jpg,Portable,USB Type-C 3.2 Gen 2,512 GB,,Black,
Seagate One Touch,https://pcpartpicker.com/product/tYkWGX/seagate-one-touch-5-tb-external-hard-drive-stkc5000404,https://cdna.pcpartpicker.com/static/forever/images/product/6183f263de69bc1a245574e724d31393.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,,Gray,
