Name,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader
Crucial Pro Overclocking 32 GB,Crucial ,CP2K16G60C36U5B ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$12.156 ,Black ,12 ns ,36 ,1.35 V ,36-38-38-80 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 32 GB,Corsair ,CMH32GX5M2E6000C36 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,Black ,12 ns ,36 ,1.4 V ,36-44-44-96 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 32 GB,Corsair ,CMK32GX4M2E3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,$6.875 ,Black / Yellow ,10 ns ,16 ,1.35 V ,16-20-20-38 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 16 GB,Corsair ,CMK16GX4M2B3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$9.937 ,Black / Yellow ,10 ns ,16 ,1.35 V ,16-18-18-36 ,Non-ECC / Unbuffered ,Yes 
G.Skill Flare X5 32 GB,G.Skill ,F5-6000J3636F16GX2-FX5 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.124 ,Black ,12 ns ,36 ,1.35 V ,36-36-36-96 ,Non-ECC / Unbuffered ,No 
Corsair Vengeance RGB 16 GB,Corsair ,CMH16GX5M2B5200C40 ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 8GB ,$15.624 ,Black / Gray ,15.385 ns ,40 ,1.25 V ,40-40-40-77 ,Non-ECC / Unbuffered ,Yes 
Silicon Power GAMING 16 GB,Silicon Power , SP016GXLZU320BDAJ5 | SU016GXLZU320BDAJ5 | ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$7.436 ,Black / Gray ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 64 GB,Corsair ,CMH64GX5M2B6000C30 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,$17.344 ,Black ,10 ns ,30 ,1.4 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Patriot Viper Elite 5 16 GB,Patriot ,VEB516G6030W ,DDR5-6000 ,288-pin DIMM (DDR5) ,1 x 16GB ,$12.499 ,White ,10 ns ,30 ,1.35 V ,30-40-40-76 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 32 GB,Corsair ,CMH32GX5M2E6000C36W ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,White / Silver ,12 ns ,36 ,1.4 V ,36-44-44-96 ,Non-ECC / Unbuffered ,Yes 
Crucial Pro Overclocking 32 GB,Crucial ,CP2K16G64C32U5B ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,Black ,10 ns ,32 ,1.35 V ,32-40-40-103 ,Non-ECC / Unbuffered ,Yes 
Crucial Pro 32 GB,Crucial ,CP2K16G64C38U5B ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.250 ,Black ,11.875 ns ,38 ,1.35 V ,38-40-40-84 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 32 GB,Kingston ,KF560C30BBEK2-32 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.000 ,Black ,10 ns ,30 ,1.4 V ,,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 128 GB,Kingston ,KF436C18BBK4/128 ,DDR4-3600 ,288-pin DIMM (DDR4) ,4 x 32GB ,$13.241 ,Black ,10 ns ,18 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 16 GB,Kingston ,KF552C40BBK2-16 ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 8GB ,$15.469 ,Black ,15.385 ns ,40 ,1.25 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Ripjaws V 16 GB,G.Skill ,F4-3200C16D-16GVKB ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$9.687 ,Black ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 Neo RGB 32 GB,G.Skill ,F5-6000J3038F16GX2-TZ5NR ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.468 ,Black ,10 ns ,30 ,1.35 V ,30-38-38-96 ,Non-ECC / Unbuffered ,No 
Kingston FURY Beast 16 GB,Kingston ,KF432C16BBK216 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$11.494 ,Black ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB Pro 32 GB,Corsair ,CMW32GX4M2Z3600C18 ,DDR4-3600 ,288-pin DIMM (DDR4) ,2 x 16GB ,,Black ,10 ns ,18 ,1.35 V ,18-22-22-42 ,Non-ECC / Unbuffered ,Yes 
Patriot Viper Venom 32 GB,Patriot ,PVV532G600C30K ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$12.187 ,Black / White ,10 ns ,30 ,1.35 V ,30-40-40-76 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB Pro 16 GB,Corsair ,CMW16GX4M2C3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$10.687 ,Black ,10 ns ,16 ,1.35 V ,16-18-18-36 ,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 Neo RGB 64 GB,G.Skill ,F5-6000J3040G32GX2-TZ5NR ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,$14.844 ,Black / Silver ,10 ns ,30 ,1.4 V ,30-40-40-96 ,Non-ECC / Unbuffered ,Yes 
Crucial Classic 16 GB,Crucial ,CT2K8G56C46U5 ,DDR5-5600 ,288-pin DIMM (DDR5) ,2 x 8GB ,$16.812 ,Black ,16.429 ns ,46 ,1.1 V ,,Non-ECC / Unbuffered ,No 
Crucial Pro 32 GB,Crucial ,CP2K16G56C46U5 ,DDR5-5600 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.405 ,Black ,16.429 ns ,46 ,1.1 V ,,Non-ECC / Unbuffered ,Yes 
Crucial Pro 32 GB,Crucial ,CP2K16G4DFRA32A ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,$7.187 ,Black ,13.75 ns ,22 ,1.2 V ,,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 8 GB,Kingston ,KF432C16BB8 ,DDR4-3200 ,288-pin DIMM (DDR4) ,1 x 8GB ,$9.875 ,Black ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Force Delta RGB 16 GB,TEAMGROUP ,FF4D516G6000HC38ADC01 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 8GB ,$15.624 ,White ,12.667 ns ,38 ,1.25 V ,38-38-38-78 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance 32 GB,Corsair ,CMK32GX5M2B6000C30 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$16.875 ,Black / Gray ,10 ns ,30 ,1.4 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Create Expert 32 GB,TEAMGROUP ,CTCED532G6000HC30DC01 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$12.500 ,Black ,10 ns ,30 ,1.35 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Crucial Pro 64 GB,Crucial ,CP2K32G60C40U5B ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,$9.844 ,Black ,13.333 ns ,40 ,1.35 V ,40-40-40-80 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Force Vulcan 16 GB,TEAMGROUP ,FLBD516G6000HC38ADC01 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 8GB ,$12.499 ,Black ,12.667 ns ,38 ,1.25 V ,38-38-38-78 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Force Vulcan Z 16 GB,TEAMGROUP ,TLZGD416G3200HC16CDC01 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$9.374 ,Black ,10 ns ,16 ,1.35 V ,16-18-18-38 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB Pro 32 GB,Corsair ,CMW32GX4M2E3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,$8.750 ,Black ,10 ns ,16 ,1.35 V ,16-20-20-38 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast RGB 32 GB,Kingston ,KF560C30BBEAK2-32 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$17.185 ,Black ,10 ns ,30 ,1.4 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Flare X5 16 GB,G.Skill ,F5-6000J3636F16GX1-FX5 ,DDR5-6000 ,288-pin DIMM (DDR5) ,1 x 16GB ,$14.687 ,Black ,12 ns ,36 ,1.35 V ,36-36-36-96 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance 32 GB,Corsair ,CMK32GX5M2E6000Z36 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.468 ,Black ,12 ns ,36 ,1.4 V ,36-44-44-96 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Force Delta RGB 32 GB,TEAMGROUP ,FF4D532G6000HC30DC01 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.937 ,White ,10 ns ,30 ,1.35 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Force Delta RGB 32 GB,TEAMGROUP ,FF3D532G6000HC30DC01 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.000 ,Black ,10 ns ,30 ,1.35 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Crucial Pro Overclocking 32 GB,Crucial ,CP2K16G60C36U5W ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$12.500 ,White ,12 ns ,36 ,1.35 V ,36-38-38-80 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance 128 GB,Corsair ,CMK128GX5M2B6400C42 ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 64GB ,$12.492 ,Black ,13.125 ns ,42 ,1.35 V ,42-52-52-104 ,Non-ECC / Unbuffered ,Yes 
G.Skill Ripjaws V 32 GB,G.Skill ,F4-3200C16D-32GVK ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,$8.125 ,Black ,10 ns ,16 ,1.35 V ,16-18-18-38 ,Non-ECC / Unbuffered ,Yes 
Klevv BOLT X 16 GB,Klevv ,KD48GU880-36A180U ,DDR4-3600 ,288-pin DIMM (DDR4) ,2 x 8GB ,,Black ,10 ns ,18 ,1.35 V ,18-22-22-42 ,Non-ECC / Unbuffered ,Yes 
Silicon Power Value Gaming 32 GB,Silicon Power , SP032GXLWU60AFDEAE | SP032GXLWU60AFDJ | SU032GXLWU60AFDJEC | ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$12.187 ,Black ,10 ns ,30 ,1.35 V ,30-38-38-96 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Force Delta RGB 16 GB,TEAMGROUP ,FF3D516G6000HC38ADC01 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 8GB ,$15.624 ,Black ,12.667 ns ,38 ,1.25 V ,38-38-38-78 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance 16 GB,Corsair ,CMK16GX5M2B5200C40 ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 8GB ,$15.624 ,Black ,15.385 ns ,40 ,1.25 V ,40-40-40-77 ,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 RGB 128 GB,G.Skill ,F5-6400J3644F64GX2-TZ5RK ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 64GB ,$23.437 ,Black ,11.25 ns ,36 ,1.35 V ,36-44-44-102 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 32 GB,Corsair ,CMK32GX4M2Z3600C18 ,DDR4-3600 ,288-pin DIMM (DDR4) ,2 x 16GB ,,Black / Yellow ,10 ns ,18 ,1.35 V ,18-22-22-42 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 16 GB,Corsair ,CMK16GX4M2E3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$8.937 ,Black ,10 ns ,16 ,1.35 V ,16-20-20-38 ,Non-ECC / Unbuffered ,Yes 
Crucial CT16G4DFRA32A 16 GB,Crucial ,CT16G4DFRA32A ,DDR4-3200 ,288-pin DIMM (DDR4) ,1 x 16GB ,$7.937 ,Green ,13.75 ns ,22 ,1.2 V ,,Non-ECC / Unbuffered ,No 
Kingston FURY Beast 16 GB,Kingston ,KF552C40BB-16 ,DDR5-5200 ,288-pin DIMM (DDR5) ,1 x 16GB ,$15.546 ,Black / Silver ,15.385 ns ,40 ,1.25 V ,,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 16 GB,Kingston ,KF556C36BBEK2-16 ,DDR5-5600 ,288-pin DIMM (DDR5) ,2 x 8GB ,$16.249 ,Black / Silver ,12.857 ns ,36 ,1.25 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Flare X5 32 GB,G.Skill ,F5-6000J3038F16GX2-FX5 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.937 ,Black ,10 ns ,30 ,1.35 V ,30-38-38-96 ,Non-ECC / Unbuffered ,Yes 
Silicon Power XPOWER Storm RGB 32 GB,Silicon Power , SP032GXLWU60CFDK | SU032GXLWU60CFDKSN | SU032GXLWU60CFDKBH | ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,Gray ,12 ns ,36 ,1.35 V ,36-36-36-96 ,Non-ECC / Unbuffered ,Yes 
Patriot Signature Line 4 GB,Patriot ,PSD44G266681S ,DDR4-2666 ,288-pin DIMM (DDR4) ,1 x 4GB ,,,14.254 ns ,19 ,1.2 V ,,Non-ECC / Unbuffered ,No 
Corsair Vengeance 32 GB,Corsair ,CMK32GX5M2E6000C36 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.437 ,Black ,12 ns ,36 ,1.4 V ,36-44-44-96 ,Non-ECC / Unbuffered ,Yes 
Crucial CT16G48C40U5 16 GB,Crucial ,CT16G48C40U5 ,DDR5-4800 ,288-pin DIMM (DDR5) ,1 x 16GB ,$16.812 ,Black ,16.667 ns ,40 ,1.1 V ,,Non-ECC / Unbuffered ,No 
G.Skill Trident Z RGB 16 GB,G.Skill ,F4-3200C16D-16GTZR ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$9.374 ,Black ,10 ns ,16 ,1.35 V ,16-18-18-38 ,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 Royal Neo RGB 32 GB,G.Skill ,F5-6000J2836G16GX2-TR5NS ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$18.750 ,Silver ,9.333 ns ,28 ,1.4 V ,28-36-36-96 ,Non-ECC / Unbuffered ,Yes 
Patriot Viper Venom 16 GB,Patriot ,PVV516G60C30 ,DDR5-6000 ,288-pin DIMM (DDR5) ,1 x 16GB ,$12.499 ,Black / White ,10 ns ,30 ,1.35 V ,30-40-40-76 ,Non-ECC / Unbuffered ,Yes 
Crucial Pro 32 GB,Crucial ,CP2K16G64C38U5W ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.684 ,White ,11.875 ns ,38 ,1.35 V ,38-40-40-84 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY 16 GB,Kingston ,KF556C40BWA-16 ,DDR5-5600 ,288-pin DIMM (DDR5) ,1 x 16GB ,,White ,14.286 ns ,40 ,1.25 V ,,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast RGB 16 GB,Kingston ,KF560C36BBEAK2-16 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 8GB ,$17.187 ,Black ,12 ns ,36 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Kingston Server Premier 64 GB,Kingston ,KSM32RD4/64HCR ,DDR4-3200 ,288-pin DIMM (DDR4) ,1 x 64GB ,$19.484 ,,13.75 ns ,22 ,1.2 V ,,ECC / Registered ,No 
Corsair Dominator Titanium 64 GB,Corsair ,CMP64GX5M2X6600C32W ,DDR5-6600 ,288-pin DIMM (DDR5) ,2 x 32GB ,$18.562 ,White ,9.697 ns ,32 ,1.4 V ,32-39-39-76 ,Non-ECC / Unbuffered ,Yes 
G.Skill Flare X5 64 GB,G.Skill ,F5-6000J3040G32GX2-FX5 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,$14.062 ,Black ,10 ns ,30 ,1.4 V ,30-40-40-96 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 8 GB,Corsair ,CMK8GX4M1A2400C16 ,DDR4-2400 ,288-pin DIMM (DDR4) ,1 x 8GB ,,Black / Yellow ,13.333 ns ,16 ,1.2 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 32 GB,Corsair ,CMH32GX5M2B6400C36 ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.750 ,Black ,11.25 ns ,36 ,1.4 V ,36-48-48-104 ,Non-ECC / Unbuffered ,Yes 
Crucial CT8G4DFS824A 8 GB,Crucial ,CT8G4DFS824A ,DDR4-2400 ,288-pin DIMM (DDR4) ,1 x 8GB ,$8.094 ,Green ,14.167 ns ,17 ,1.2 V ,,Non-ECC / Unbuffered ,No 
G.Skill Trident Z RGB 32 GB,G.Skill ,F4-3600C18D-32GTZR ,DDR4-3600 ,288-pin DIMM (DDR4) ,2 x 16GB ,$10.000 ,Black ,10 ns ,18 ,1.35 V ,18-22-22-42 ,Non-ECC / Unbuffered ,Yes 
G.Skill Ripjaws V 16 GB,G.Skill ,F4-3600C16D-16GVKC ,DDR4-3600 ,288-pin DIMM (DDR4) ,2 x 8GB ,$10.624 ,Black ,8.889 ns ,16 ,1.35 V ,16-19-19-39 ,Non-ECC / Unbuffered ,Yes 
Crucial CT2K8G4DFRA32A 16 GB,Crucial ,CT2K8G4DFRA32A ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$9.372 ,Green ,13.75 ns ,22 ,1.2 V ,,Non-ECC / Unbuffered ,No 
Kingston FURY Beast 128 GB,Kingston ,KF432C16BBK4/128 ,DDR4-3200 ,288-pin DIMM (DDR4) ,4 x 32GB ,$9.826 ,Black ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Ripjaws S5 32 GB,G.Skill ,F5-6000J3636F16GX2-RS5K ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.875 ,Black ,12 ns ,36 ,1.35 V ,36-36-36-96 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 32 GB,Kingston ,KF432C16BBK2/32 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,$9.337 ,Black ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Klevv FIT V 32 GB,Klevv ,KD5AGU880-60A300L ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,,Black ,10 ns ,30 ,1.4 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Silicon Power SP008GBLVU480G02 8 GB,Silicon Power ,SP008GBLVU480G02 ,DDR5-4800 ,288-pin DIMM (DDR5) ,1 x 8GB ,$14.621 ,,16.667 ns ,40 ,1.1 V ,,Non-ECC / Unbuffered ,No 
G.Skill Trident Z5 Neo 128 GB,G.Skill ,F5-6000J3244G64GX2-TZ5NR ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 64GB ,$17.187 ,Black ,10.667 ns ,32 ,1.4 V ,32-44-44-96 ,Non-ECC / Unbuffered ,Yes 
Patriot Viper Venom 64 GB,Patriot ,PVV564G640C32K ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 32GB ,$13.281 ,Black / White ,10 ns ,32 ,1.4 V ,32-40-40-84 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 32 GB,Corsair ,CMH32GX5M2B6000Z30K ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$17.187 ,Gray ,10 ns ,30 ,1.4 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Silicon Power GAMING 32 GB,Silicon Power , SP032GXLZU320BDAJ7 | SU032GXLZU320BDAJ7 | ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,$6.556 ,Black ,10 ns ,16 ,1.35 V ,16-18-18-36 ,Non-ECC / Unbuffered ,Yes 
Crucial CT2K8G4DFS8266 16 GB,Crucial ,CT2K8G4DFS8266 ,DDR4-2666 ,288-pin DIMM (DDR4) ,2 x 8GB ,$8.438 ,Green ,14.254 ns ,19 ,1.2 V ,,Non-ECC / Unbuffered ,No 
Corsair Vengeance RGB 128 GB,Corsair ,CMH128GX5M2B6400C42 ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 64GB ,$12.578 ,Black ,13.125 ns ,42 ,1.35 V ,42-52-52-104 ,Non-ECC / Unbuffered ,Yes 
Crucial CT2K16G48C40U5 32 GB,Crucial ,CT2K16G48C40U5 ,DDR5-4800 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.968 ,Black ,16.667 ns ,40 ,1.1 V ,,Non-ECC / Unbuffered ,No 
Patriot Viper Elite 5 32 GB,Patriot ,VEB532G6030KW ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$12.187 ,White ,10 ns ,30 ,1.35 V ,30-40-40-76 ,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 RGB 64 GB,G.Skill ,F5-6400J3239G32GX2-TZ5RK ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 32GB ,$15.312 ,Black / Silver ,10 ns ,32 ,1.4 V ,32-39-39-102 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB Pro 32 GB,Corsair ,CMW32GX4M2E3200C16W ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,$8.781 ,White ,10 ns ,16 ,1.35 V ,16-20-20-38 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast RGB 32 GB,Kingston ,KF560C36BBE2AK2-32 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$14.375 ,Black ,11.333 ns ,34 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 32 GB,Corsair ,CMK32GX4M2D3600C18 ,DDR4-3600 ,288-pin DIMM (DDR4) ,2 x 16GB ,$7.593 ,Black / Yellow ,10 ns ,18 ,1.35 V ,18-22-22-42 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Force Vulcan 32 GB,TEAMGROUP ,FLBD532G6000HC30DC01 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$16.562 ,Black ,10 ns ,30 ,1.35 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Crucial Pro 64 GB,Crucial ,CP2K32G4DFRA32A ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 32GB ,$7.031 ,Black / Green ,13.75 ns ,22 ,1.2 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 192 GB,Corsair ,CMH192GX5M4B5200C38 ,DDR5-5200 ,288-pin DIMM (DDR5) ,4 x 48GB ,$12.667 ,Black ,14.615 ns ,38 ,1.25 V ,38-38-38-84 ,Non-ECC / Unbuffered ,Yes 
ADATA XPG SPECTRIX D50 16 GB,ADATA ,AX4U32008G16A-DW50 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,,White ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Silicon Power SP016GLLTU160N22 16 GB,Silicon Power ,SP016GLLTU160N22 ,DDR3-1600 ,240-pin DIMM (DDR3) ,2 x 8GB ,$2.624 ,Green ,13.75 ns ,11 ,1.35 V ,,Non-ECC / Unbuffered ,No 
Patriot Viper Venom 32 GB,Patriot ,PVV532G640C32K ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,Black / White ,10 ns ,32 ,1.4 V ,32-40-40-84 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 16 GB,Kingston ,KF432C16BB/16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,1 x 16GB ,$8.124 ,Black ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Patriot Viper Venom 32 GB,Patriot ,PVV532G600C36K ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,Black / White ,12 ns ,36 ,1.25 V ,36-36-36-76 ,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 RGB 32 GB,G.Skill ,F5-6000J3636F16GX2-TZ5RK ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.312 ,Black ,12 ns ,36 ,1.35 V ,36-36-36-96 ,Non-ECC / Unbuffered ,Yes 
Silicon Power XPOWER Pulse Gaming 32 GB,Silicon Power , SP032GXLWU60FFDJ | SU032GXLWU60FFDJEC | ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,Black ,12 ns ,36 ,1.35 V ,36-46-46-86 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 16 GB,Kingston ,KF560C30BBEK2-16 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 8GB ,$22.536 ,Black ,10 ns ,30 ,1.4 V ,,Non-ECC / Unbuffered ,Yes 
Crucial CT16G56C46U5 16 GB,Crucial ,CT16G56C46U5 ,DDR5-5600 ,288-pin DIMM (DDR5) ,1 x 16GB ,$14.687 ,Black ,16.429 ns ,46 ,1.1 V ,,Non-ECC / Unbuffered ,No 
Corsair Vengeance RGB Pro 16 GB,Corsair ,CMW16GX4M2C3200C16W ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,,White ,10 ns ,16 ,1.35 V ,16-18-18-36 ,Non-ECC / Unbuffered ,Yes 
Samsung M378A1K43CB2-CRC 8 GB,Samsung ,M378A1K43CB2-CRC ,DDR4-2400 ,288-pin DIMM (DDR4) ,1 x 8GB ,$8.744 ,Green ,14.167 ns ,17 ,1.2 V ,,Non-ECC / Unbuffered ,No 
Corsair Dominator Titanium 32 GB,Corsair ,CMP32GX5M2B6000C30W ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$18.437 ,White ,10 ns ,30 ,1.4 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 32 GB,Kingston ,KF552C40BBK2-32 ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 16GB ,$14.338 ,Black / Silver ,15.385 ns ,40 ,1.25 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 Neo RGB 64 GB,G.Skill ,F5-6000J2636H32GX2-TZ5NR ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,$20.312 ,Black ,8.667 ns ,26 ,1.45 V ,26-36-36-96 ,Non-ECC / Unbuffered ,Yes 
