Name,URL,Image,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Price
Intel Core i5-4590,https://pcpartpicker.com/product/7bNp99/intel-cpu-bx80646i54590,https://m.media-amazon.com/images/I/51vb+UYTxSL.jpg,4,3.3 GHz,3.7 GHz,Haswell Refresh,84 W,Intel HD Graphics 4600,
Intel Core i5-7600K,https://pcpartpicker.com/product/dQM323/intel-core-i5-7600k-38ghz-quad-core-processor-bx80677i57600k,https://cdna.pcpartpicker.com/static/forever/images/product/02dbd0bb7cefb31a308b7f7ce6bf392e.256p.jpg,4,3.8 GHz,4.2 GHz,Kaby Lake,91 W,Intel HD Graphics 630,123.00
AMD Ryzen 5 7400F,https://pcpartpicker.com/product/M3vscf/amd-ryzen-5-7400f-37-ghz-6-core-oemtray-processor-100-000001845,https://cdna.pcpartpicker.com/static/forever/images/product/7160b7c08f720d19f9ae682c2f6f7563.256p.jpg,6,3.7 GHz,4.7 GHz,Zen 4,65 W,None,
Intel Core i5-3470,https://pcpartpicker.com/product/PBCwrH/intel-cpu-bx80637i53470,/static/forever/img/no-image.png,4,3.2 GHz,,Ivy Bridge,77 W,Intel HD Graphics 2500,59.00
Intel Xeon E5-2690 V2,https://pcpartpicker.com/product/YnYXsY/intel-cpu-bx80635e52690v2,https://cdna.pcpartpicker.com/static/forever/images/product/1977e519fd300ff7da2282bf2ecd8c71.256p.jpg,10,3 GHz,3.6 GHz,Ivy Bridge,130 W,None,
Intel Core i5-4460,https://pcpartpicker.com/product/F63RsY/intel-cpu-bx80646i54460,https://m.media-amazon.com/images/I/51m7EsJG9-L.jpg,4,3.2 GHz,3.4 GHz,Haswell Refresh,84 W,Intel HD Graphics 4600,64.04
Intel Core i7-11700KF,https://pcpartpicker.com/product/Fgt9TW/intel-core-i7-11700kf-36-ghz-8-core-processor-bx8070811700kf,https://cdna.pcpartpicker.com/static/forever/images/product/965ab64fbbbf1a096201650af8b88699.256p.jpg,8,3.6 GHz,5 GHz,Rocket Lake,125 W,None,422.78
Intel Core i3-4130,https://pcpartpicker.com/product/KDGkcf/intel-cpu-bx80646i34130,https://cdna.pcpartpicker.com/static/forever/images/product/42a54c308242991186f4f6a3fde7603d.256p.jpg,2,3.4 GHz,,Haswell,54 W,Intel HD Graphics 4400,41.00
Intel Core i9-10900KF,https://pcpartpicker.com/product/CT3mP6/intel-core-i9-10900kf-37-ghz-10-core-processor-bx8070110900kf,https://cdna.pcpartpicker.com/static/forever/images/product/02b522d67f1855b6e2916d800eb38bcf.256p.jpg,10,3.7 GHz,5.3 GHz,Comet Lake,125 W,None,439.00
Intel Core i7-10700KF,https://pcpartpicker.com/product/sT3mP6/intel-core-i7-10700kf-38-ghz-8-core-processor-bx8070110700kf,https://cdna.pcpartpicker.com/static/forever/images/product/30a49f42fca8cbf7e1627bf13d37a6e7.256p.jpg,8,3.8 GHz,5.1 GHz,Comet Lake,125 W,None,
Intel Core i9-9900KS,https://pcpartpicker.com/product/9mCFf7/intel-core-i9-9900ks-4-ghz-8-core-processor-bx80684i99900ks,https://cdna.pcpartpicker.com/static/forever/images/product/127d608f7abf20424afc8464bc416cfa.256p.jpg,8,4 GHz,5 GHz,Coffee Lake Refresh,127 W,Intel UHD Graphics 630,
Intel Core i3-10105F,https://pcpartpicker.com/product/hYgFf7/intel-core-i3-10105f-37-ghz-quad-core-processor-bx8070110105f,https://cdna.pcpartpicker.com/static/forever/images/product/104690dc90e6297964380eeb9204f524.256p.jpg,4,3.7 GHz,4.4 GHz,Comet Lake,65 W,None,103.18
AMD FX-8350,https://pcpartpicker.com/product/ykphP6/amd-cpu-fd8350frhkbox,https://m.media-amazon.com/images/I/511KbpvD7fL.jpg,8,4 GHz,,Piledriver,125 W,None,
Intel Core i5-4570,https://pcpartpicker.com/product/wXK7YJ/intel-cpu-bx80646i54570,https://cdna.pcpartpicker.com/static/forever/images/product/bbcff392a5e86c2d5268cdd237f70e51.256p.jpg,4,3.2 GHz,,Haswell,84 W,Intel HD Graphics 4600,98.00
Intel Core i9-14900F,https://pcpartpicker.com/product/RNjRsY/intel-core-i9-14900f-2-ghz-24-core-processor-bx8071514900f,https://cdna.pcpartpicker.com/static/forever/images/product/9ad5851cc322799cc6c3352f6a899247.256p.jpg,24,2 GHz,5.8 GHz,Raptor Lake Refresh,65 W,None,579.00
AMD Ryzen 5 3600,https://pcpartpicker.com/product/Rnm323/amd-ryzen-5-3600-36-thz-6-core-oemtray-processor-100-000000031,https://cdna.pcpartpicker.com/static/forever/images/product/1c98c8fccc44a3696129e74df5243312.256p.jpg,6,3.6 GHz,4.2 GHz,Zen 2,65 W,None,
AMD EPYC 4565P,https://pcpartpicker.com/product/zZvscf/amd-epyc-4565p-43-ghz-16-core-processor-100-100001559wof,https://cdna.pcpartpicker.com/static/forever/images/product/93d40a5558436eb5e63800c8df5956a7.256p.jpg,16,4.3 GHz,5.7 GHz,Zen 5,170 W,Radeon,595.99
AMD Ryzen 5 1600X,https://pcpartpicker.com/product/8hwqqs/amd-ryzen-5-1600x-36ghz-6-core-processor-yd160xbcaewof,https://cdna.pcpartpicker.com/static/forever/images/product/62069eabe77fa79c55158028545484f2.256p.jpg,6,3.6 GHz,4 GHz,Zen,95 W,None,195.00
Intel Core i9-9980XE,https://pcpartpicker.com/product/XMkj4D/intel-core-i9-9980xe-3-thz-18-core-oemtray-processor-cd8067304126600,https://cdna.pcpartpicker.com/static/forever/images/product/bb03a268a7ec584613a8b46a1926a0b7.256p.jpg,18,3 GHz,4.4 GHz,Skylake,165 W,None,1498.95
AMD Athlon II X2 240,https://pcpartpicker.com/product/vZTmP6/amd-cpu-adx240ock23gq,/static/forever/img/no-image.png,2,2.8 GHz,,K10,65 W,None,24.95
Intel Core i5-6400,https://pcpartpicker.com/product/rK4NnQ/intel-cpu-bx80662i56400,https://cdna.pcpartpicker.com/static/forever/images/product/2f07bb4ae8d2d1b223130d6c177bbcc2.256p.jpg,4,2.7 GHz,3.3 GHz,Skylake,65 W,Intel HD Graphics 530,
Intel Core i3-7100T,https://pcpartpicker.com/product/QNTrxr/intel-core-i3-7100t-34ghz-dual-core-oemtray-processor-cm8067703015913,https://m.media-amazon.com/images/I/51ar56B-zyL.jpg,2,3.4 GHz,,Kaby Lake,35 W,Intel HD Graphics 630,39.00
AMD Ryzen 7 3800XT,https://pcpartpicker.com/product/9wfFf7/amd-ryzen-7-3800xt-39-ghz-8-core-processor-100-100000279wof,https://cdna.pcpartpicker.com/static/forever/images/product/7d225094c05f3106b9e7aab3873a6631.256p.jpg,8,3.9 GHz,4.7 GHz,Zen 2,105 W,None,
AMD Ryzen 5 3600XT,https://pcpartpicker.com/product/7sFKHx/amd-ryzen-5-3600xt-38-ghz-6-core-processor-100-100000281box,https://cdna.pcpartpicker.com/static/forever/images/product/16ddfc2028922cd20cffaa6976165f84.256p.jpg,6,3.8 GHz,4.5 GHz,Zen 2,95 W,None,
AMD Ryzen 5 1500X,https://pcpartpicker.com/product/VtFXsY/amd-ryzen-5-1500x-35ghz-quad-core-processor-yd150xbbaebox,https://cdna.pcpartpicker.com/static/forever/images/product/42897d7fd845792aaa6a666396777d04.256p.jpg,4,3.5 GHz,3.7 GHz,Zen,65 W,None,79.98
AMD Threadripper 2920X,https://pcpartpicker.com/product/gnDJ7P/amd-threadripper-2920x-35-ghz-12-core-processor-yd292xa8afwof,https://cdna.pcpartpicker.com/static/forever/images/product/e5ec30e5856001c1f713bc38ef99b588.256p.jpg,12,3.5 GHz,4.3 GHz,Zen+,180 W,None,229.99
Intel Core i9-11900KF,https://pcpartpicker.com/product/9rrRsY/intel-core-i9-11900kf-35-ghz-8-core-processor-bx8070811900kf,https://cdna.pcpartpicker.com/static/forever/images/product/bf7178722382122f3fbf2e53d32e99f6.256p.jpg,8,3.5 GHz,5.3 GHz,Rocket Lake,125 W,None,439.00
Intel Core i7-8700K,https://pcpartpicker.com/product/cjPzK8/intel-core-i7-8700k-37ghz-6-core-processor-cm8068403358220,https://cdna.pcpartpicker.com/static/forever/images/product/4c66195cca0b7d335a79c8649245abfa.256p.jpg,6,3.7 GHz,4.7 GHz,Coffee Lake,95 W,Intel UHD Graphics 630,208.02
Intel Celeron G5905,https://pcpartpicker.com/product/NyNgXL/intel-celeron-g5905-56-ghz-dual-core-oemtray-processor-cm8070104292115,https://cdna.pcpartpicker.com/static/forever/images/product/4e74ee4ede2abc74ce883111381c4462.256p.jpg,2,3.5 GHz,,Comet Lake,58 W,Intel UHD Graphics 610,44.11
Intel Core i7-4790K,https://pcpartpicker.com/product/WMJwrH/intel-cpu-cm8064601710501,https://images-na.ssl-images-amazon.com/images/I/514cOpqlw3L.jpg,4,4 GHz,4.4 GHz,Haswell Refresh,88 W,Intel HD Graphics 4600,229.95
AMD Ryzen 3 3300X,https://pcpartpicker.com/product/NvCFf7/amd-ryzen-3-3300x-38-ghz-quad-core-processor-100-100000159box,https://cdna.pcpartpicker.com/static/forever/images/product/614673693f9281d17b521cbf52799c68.256p.jpg,4,3.8 GHz,4.3 GHz,Zen 2,65 W,None,
Intel Core i7-13700,https://pcpartpicker.com/product/8VqPxr/intel-core-i7-13700-21-ghz-16-core-processor-bx8071513700,https://cdna.pcpartpicker.com/static/forever/images/product/e02f59843736d101374f75d18c244a30.256p.jpg,16,2.1 GHz,5.2 GHz,Raptor Lake,65 W,Intel UHD Graphics 770,
Intel Celeron 420,https://pcpartpicker.com/product/hzrG3C/intel-cpu-hh80557rg025512,https://images-fe.ssl-images-amazon.com/images/I/31%2BzKaYCucL.jpg,1,1.6 GHz,,Core,35 W,None,69.95
Intel Core i5-4690K,https://pcpartpicker.com/product/Tvzv6h/intel-cpu-bx80646i54690k,https://cdna.pcpartpicker.com/static/forever/images/product/93181dc9a768fc9b512a294c4f33cc91.256p.jpg,4,3.5 GHz,3.9 GHz,Haswell Refresh,88 W,Intel HD Graphics 4600,
Intel Core i3-13100,https://pcpartpicker.com/product/RdjBD3/intel-core-i3-13100-34-ghz-quad-core-processor-bx8071513100,https://cdna.pcpartpicker.com/static/forever/images/product/a11139b5e266b9760da436a86b407035.256p.jpg,4,3.4 GHz,4.5 GHz,Raptor Lake,60 W,Intel UHD Graphics 730,
Intel Core i9-10980XE,https://pcpartpicker.com/product/bmxbt6/intel-core-i9-10980xe-3-ghz-18-core-processor-bx8069510980xe,https://cdna.pcpartpicker.com/static/forever/images/product/31fa050d67e7b58c6e3b5a1fbdfacf34.256p.jpg,18,3 GHz,4.8 GHz,Cascade Lake,165 W,None,999.99
Intel Core i5-9500,https://pcpartpicker.com/product/rD4BD3/intel-core-i5-9500-3-ghz-6-core-processor-bx80684i59500,https://images-eu.ssl-images-amazon.com/images/I/418Vdl99UyL.jpg,6,3 GHz,4.4 GHz,Coffee Lake Refresh,65 W,Intel UHD Graphics 630,148.00
Intel Pentium Gold G5420,https://pcpartpicker.com/product/v2xbt6/intel-pentium-gold-g5420-38-ghz-dual-core-processor-bx80684g5420,https://cdna.pcpartpicker.com/static/forever/images/product/680eb809ab070a6d9d121a37ffac13bb.256p.jpg,2,3.8 GHz,,Coffee Lake,54 W,Intel UHD Graphics 610,70.94
Intel Core i5-10600KF,https://pcpartpicker.com/product/p6jNnQ/intel-core-i5-10600kf-41-ghz-6-core-processor-bx8070110600kf,https://cdna.pcpartpicker.com/static/forever/images/product/d28d05f1c9972e51ef212760baca9612.256p.jpg,6,4.1 GHz,4.8 GHz,Comet Lake,125 W,None,235.06
AMD Ryzen 7 1800X,https://pcpartpicker.com/product/7qyxFT/amd-ryzen-7-1800x-36ghz-8-core-processor-yd180xbcaewof,https://cdna.pcpartpicker.com/static/forever/images/product/a12eab97aff3815b6707805450266034.256p.jpg,8,3.6 GHz,4 GHz,Zen,95 W,None,235.99
AMD Ryzen 3 1200 (14nm),https://pcpartpicker.com/product/TX4NnQ/amd-ryzen-3-1300x-35ghz-quad-core-processor-yd1200bbaebox,https://cdna.pcpartpicker.com/static/forever/images/product/7714a4b585034b6e4a3f2e230c2806f8.256p.jpg,4,3.1 GHz,3.4 GHz,Zen,65 W,None,82.02
Intel Celeron G5900,https://pcpartpicker.com/product/37gQzy/intel-celeron-g5900-34-ghz-dual-core-processor-bx80701g5900,https://cdna.pcpartpicker.com/static/forever/images/product/6be6a2a6df1721fef27435a91c501521.256p.jpg,2,3.4 GHz,,Comet Lake,58 W,Intel UHD Graphics 610,50.00
Intel Core i7-2600,https://pcpartpicker.com/product/nvyFf7/intel-cpu-bx80623i72600,https://m.media-amazon.com/images/I/511EMznII9L.jpg,4,3.4 GHz,,Sandy Bridge,95 W,Intel HD Graphics 2000,
Intel Core i9-13900,https://pcpartpicker.com/product/kNkWGX/intel-core-i9-13900-2-ghz-24-core-processor-bx8071513900,https://cdna.pcpartpicker.com/static/forever/images/product/6677778b05f29fbfd12dd49c16f2069f.256p.jpg,24,2 GHz,5.6 GHz,Raptor Lake,65 W,Intel UHD Graphics 770,599.95
AMD EPYC 4545P,https://pcpartpicker.com/product/jWwD4D/amd-epyc-4545p-3-ghz-16-core-processor-100-100001764wof,https://cdna.pcpartpicker.com/static/forever/images/product/93d40a5558436eb5e63800c8df5956a7.256p.jpg,16,3 GHz,5.4 GHz,Zen 5,65 W,Radeon,608.65
Intel Core i7-9700KF,https://pcpartpicker.com/product/LhCD4D/intel-core-i7-9700kf-36-ghz-8-core-processor-bx80684i79700kf,https://cdna.pcpartpicker.com/static/forever/images/product/7a187be50026e221f31b55e76c3adf73.256p.jpg,8,3.6 GHz,4.9 GHz,Coffee Lake Refresh,95 W,None,
Intel Xeon E-2124,https://pcpartpicker.com/product/XY448d/intel-xeon-e-2124-33-thz-quad-core-processor-bx80684e2124,https://cdna.pcpartpicker.com/static/forever/images/product/f9ef16852c818a0bb0bba04c406222a7.256p.jpg,4,3.3 GHz,4.3 GHz,Coffee Lake,71 W,None,36.49
AMD Threadripper 1950X,https://pcpartpicker.com/product/CF7CmG/amd-threadripper-1950x-34ghz-16-core-processor-yd195xa8aewof,https://m.media-amazon.com/images/I/51hzN4DjiDL.jpg,16,3.4 GHz,4 GHz,Zen,180 W,None,850.00
Intel Core i5-9600KF,https://pcpartpicker.com/product/MBMwrH/intel-core-i5-9600kf-37-ghz-6-core-processor-bx80684i59600kf,https://cdna.pcpartpicker.com/static/forever/images/product/658de8a85dd1c0af16b8f020ed5bb2da.256p.jpg,6,3.7 GHz,4.6 GHz,Coffee Lake Refresh,95 W,None,
Intel Core i5-2400,https://pcpartpicker.com/product/jxJwrH/intel-cpu-bx80623i52400,https://m.media-amazon.com/images/I/51UxOzy0XpL.jpg,4,3.1 GHz,,Sandy Bridge,95 W,Intel HD Graphics 2000,
Intel Celeron G3930,https://pcpartpicker.com/product/b9X2FT/intel-celeron-g3930-29ghz-dual-core-oemtray-processor-cm8067703015717,/static/forever/img/no-image.png,2,2.9 GHz,,Kaby Lake,51 W,Intel HD Graphics 610,29.00
Intel Core i3-7100,https://pcpartpicker.com/product/J9X2FT/intel-core-i3-7100-39ghz-dual-core-processor-bx80677i37100,https://cdna.pcpartpicker.com/static/forever/images/product/d7a161a711b90cde0fefda4bbdf15bc2.256p.jpg,2,3.9 GHz,,Kaby Lake,51 W,Intel HD Graphics 630,58.99
Intel Core i9-14900,https://pcpartpicker.com/product/3c7scf/intel-core-i9-14900-2-ghz-24-core-processor-bx8071514900,https://cdna.pcpartpicker.com/static/forever/images/product/6bef271d59cd2a9b4f13fe95c18e2892.256p.jpg,24,2 GHz,5.8 GHz,Raptor Lake Refresh,65 W,Intel UHD Graphics 770,582.04
Intel Pentium G4400,https://pcpartpicker.com/product/YV7CmG/intel-cpu-bx80662g4400,https://cdna.pcpartpicker.com/static/forever/images/product/c96e3edad99c0ec51123f5b9c2d4a811.256p.jpg,2,3.3 GHz,,Skylake,54 W,Intel HD Graphics 510,39.00
AMD FX-6350,https://pcpartpicker.com/product/ZFs8TW/amd-fx-6350-39ghz-6-core-processor-fd6350frhkhbx,https://cdna.pcpartpicker.com/static/forever/images/product/a00d61cff204084081cdafdb26f36d1e.256p.jpg,6,3.9 GHz,,Piledriver,125 W,None,
AMD Ryzen 5 9500F,https://pcpartpicker.com/product/wqQwrH/amd-ryzen-5-9500f-38-ghz-6-core-oemtray-processor-100-000001406,https://cdna.pcpartpicker.com/static/forever/images/product/1f1301dedbebe86fd8f58493d87f51e2.256p.jpg,6,3.8 GHz,5 GHz,Zen 5,65 W,None,
Intel Core i7-8700,https://pcpartpicker.com/product/DTdFf7/intel-core-i7-8700-32ghz-6-core-oemtray-processor-cm8068403358316,https://cdna.pcpartpicker.com/static/forever/images/product/0fcd072945a17e488acd2e3e5592785e.256p.jpg,6,3.2 GHz,4.6 GHz,Coffee Lake,65 W,Intel UHD Graphics 630,
Intel Core i5-4670K,https://pcpartpicker.com/product/DNrG3C/intel-cpu-bx80646i54670k,https://cdna.pcpartpicker.com/static/forever/images/product/73e19374dc737ba0b428203d85c24a78.256p.jpg,4,3.4 GHz,,Haswell,84 W,Intel HD Graphics 4600,99.88
Intel Core i7-2600K,https://pcpartpicker.com/product/LTckcf/intel-cpu-bx80623i72600k,https://images-na.ssl-images-amazon.com/images/I/51bCM4jw7oL.jpg,4,3.4 GHz,,Sandy Bridge,95 W,Intel HD Graphics 3000,
Intel Xeon E5-1650 V4,https://pcpartpicker.com/product/ypBrxr/intel-xeon-e5-1650-v4-36ghz-6-core-oemtray-processor-cm8066002044306,https://cdna.pcpartpicker.com/static/forever/images/product/9f6b656cf6f4885666f47c2677601942.256p.jpg,6,3.6 GHz,4 GHz,Broadwell,140 W,None,
Intel Core i5-3570K,https://pcpartpicker.com/product/3LZQzy/intel-cpu-bx80637i53570k,https://m.media-amazon.com/images/I/51wwy3uSBOL.jpg,4,3.4 GHz,,Ivy Bridge,77 W,Intel HD Graphics 4000,
AMD Threadripper 1920X,https://pcpartpicker.com/product/cRDzK8/amd-threadripper-1920x-35ghz-12-core-processor-yd192xa8aewof,https://cdna.pcpartpicker.com/static/forever/images/product/dfb011931e97f85c79165ed9e97aec59.256p.jpg,12,3.5 GHz,4 GHz,Zen,180 W,None,250.00
Intel Core i7-6850K,https://pcpartpicker.com/product/4RvZxr/intel-cpu-bx80671i76850k,https://cdna.pcpartpicker.com/static/forever/images/product/ba02f12ee3bb9892d21a4c3e26a3790f.256p.jpg,6,3.6 GHz,3.8 GHz,Broadwell,140 W,None,85.00
Intel Core i9-10900X,https://pcpartpicker.com/product/r4NgXL/intel-core-i9-10900x-37-ghz-10-core-processor-bx8069510900x,https://cdna.pcpartpicker.com/static/forever/images/product/d6ea76d2a63ade5759235829a6d63697.256p.jpg,10,3.7 GHz,4.7 GHz,Cascade Lake,165 W,None,410.99
AMD EPYC 4465P,https://pcpartpicker.com/product/fmJBD3/amd-epyc-4465p-34-ghz-12-core-processor-100-100001558wof,https://cdna.pcpartpicker.com/static/forever/images/product/892aed0b32342b4ac4b69c5f1d773dcb.256p.jpg,12,3.4 GHz,5.4 GHz,Zen 5,65 W,Radeon,438.99
Intel Xeon E5-2667 V3,https://pcpartpicker.com/product/3kcMnQ/intel-cpu-cm8064401724301,/static/forever/img/no-image.png,8,3.2 GHz,3.6 GHz,Haswell,135 W,None,298.95
AMD Ryzen 5 7600X3D,https://pcpartpicker.com/product/WtwmP6/amd-ryzen-5-7600x3d-41-ghz-6-core-oemtray-processor-100-000001721,https://cdna.pcpartpicker.com/static/forever/images/product/d98c57706912078c4c4f0b515eb4cbf9.256p.jpg,6,4.1 GHz,4.7 GHz,Zen 4,65 W,Radeon,
AMD Ryzen 7 9700F,https://pcpartpicker.com/product/Dzjv6h/amd-ryzen-7-9700f-38-ghz-8-core-oemtray-processor-100-000001902,/static/forever/img/no-image.png,8,3.8 GHz,5.5 GHz,Zen 5,65 W,None,
Intel Pentium Gold G6600,https://pcpartpicker.com/product/KwFKHx/intel-pentium-gold-g6600-42-ghz-dual-core-processor-bx80701g6600,https://cdna.pcpartpicker.com/static/forever/images/product/ab31eff2865edb93498c3ab8707d4c71.256p.jpg,2,4.2 GHz,,Comet Lake,58 W,Intel UHD Graphics 630,184.02
Intel Core i5-6600,https://pcpartpicker.com/product/m9Gj4D/intel-cpu-bx80662i56600,https://cdna.pcpartpicker.com/static/forever/images/product/2f07bb4ae8d2d1b223130d6c177bbcc2.256p.jpg,4,3.3 GHz,3.9 GHz,Skylake,65 W,Intel HD Graphics 530,
Intel Core i7-4790,https://pcpartpicker.com/product/BRjG3C/intel-cpu-bx80646i74790,https://cdna.pcpartpicker.com/static/forever/images/product/c5de191eb0e991b8a2a6d20d66cf9a5f.256p.jpg,4,3.6 GHz,4 GHz,Haswell Refresh,84 W,Intel HD Graphics 4600,
Intel Core i9-9980XE,https://pcpartpicker.com/product/Kpw7YJ/intel-core-i9-9980xe-3-thz-18-core-processor-bx80673i99980x,https://cdna.pcpartpicker.com/static/forever/images/product/19d02bd09fdd56c9d306559afd1dfff9.256p.jpg,18,3 GHz,4.4 GHz,Skylake,165 W,None,1815.00
AMD FX-9590,https://pcpartpicker.com/product/pGrG3C/amd-cpu-fd9590fhhkwof,https://cdna.pcpartpicker.com/static/forever/images/product/af8e6181a8d4489c8613fc076130dc06.256p.jpg,8,4.7 GHz,5 GHz,Piledriver,220 W,None,282.02
Intel Core i9-12900,https://pcpartpicker.com/product/JpJgXL/intel-core-i9-12900-24-ghz-16-core-processor-bx8071512900,https://cdna.pcpartpicker.com/static/forever/images/product/b61a0cfda1c9f56fda7c2f91dacd9046.256p.jpg,16,2.4 GHz,5.1 GHz,Alder Lake,65 W,Intel UHD Graphics 770,399.00
Intel Core i5-2500K,https://pcpartpicker.com/product/4WqdnQ/intel-cpu-bx80623i52500k,https://images-na.ssl-images-amazon.com/images/I/51iunH%2BDgEL.jpg,4,3.3 GHz,,Sandy Bridge,95 W,Intel HD Graphics 3000,144.00
Intel Core i9-9820X,https://pcpartpicker.com/product/YG448d/intel-core-i9-9820x-33-ghz-10-core-processor-bx80673i99820x,https://cdna.pcpartpicker.com/static/forever/images/product/9f4bab6ab3d6eac89876013f43df820e.256p.jpg,10,3.3 GHz,4.1 GHz,Skylake,165 W,None,
Intel Xeon E5-2698 V3,https://pcpartpicker.com/product/sBDzK8/intel-cpu-cm8064401609800,/static/forever/img/no-image.png,16,2.3 GHz,3.6 GHz,Haswell,135 W,None,
Intel Core i5-12600,https://pcpartpicker.com/product/HqXJ7P/intel-core-i5-12600-33-ghz-6-core-processor-bx8071512600,https://cdna.pcpartpicker.com/static/forever/images/product/7a8133e4d1ab12830ce867e2958bbc2b.256p.jpg,6,3.3 GHz,4.8 GHz,Alder Lake,65 W,Intel UHD Graphics 770,274.99
Intel Pentium Gold G6400,https://pcpartpicker.com/product/FvCFf7/intel-pentium-gold-g6400-4-ghz-dual-core-processor-bx80701g6400,https://cdna.pcpartpicker.com/static/forever/images/product/ab31eff2865edb93498c3ab8707d4c71.256p.jpg,2,4 GHz,,Comet Lake,58 W,Intel UHD Graphics 610,73.95
Intel Core i3-9100,https://pcpartpicker.com/product/NfKcCJ/intel-core-i3-9100-36-ghz-quad-core-processor-bx80684i39100,https://cdna.pcpartpicker.com/static/forever/images/product/46badc31f619c275800a79476709e08f.256p.jpg,4,3.6 GHz,4.2 GHz,Coffee Lake Refresh,65 W,Intel UHD Graphics 630,
AMD Athlon 200GE,https://pcpartpicker.com/product/dFhKHx/amd-athlon-200ge-32ghz-dual-core-processor-yd200gc6fbbox,https://cdna.pcpartpicker.com/static/forever/images/product/f55fe8a2443698085e9d8d2997cc3173.256p.jpg,2,3.2 GHz,,Zen,35 W,Radeon Vega 3,69.98
AMD Ryzen 9 PRO 9945,https://pcpartpicker.com/product/s8CCmG/amd-ryzen-9-pro-9945-34-ghz-12-core-oemtray-processor-100-000001407,/static/forever/img/no-image.png,12,3.4 GHz,5.4 GHz,Zen 5,65 W,Radeon,
AMD Threadripper 1900X,https://pcpartpicker.com/product/BvgPxr/amd-threadripper-1900x-38ghz-8-core-processor-yd190xa8aewof,https://cdna.pcpartpicker.com/static/forever/images/product/b68f29b453848519ea8bd70695cd027c.256p.jpg,8,3.8 GHz,4 GHz,Zen,180 W,None,160.99
Intel Core i5-3570,https://pcpartpicker.com/product/dVV48d/intel-cpu-bx80637i53570,https://images-na.ssl-images-amazon.com/images/I/51SE8s7Qz9L.jpg,4,3.4 GHz,,Ivy Bridge,77 W,Intel HD Graphics 2500,
Intel Core i5-9400F,https://pcpartpicker.com/product/w9VD4D/intel-core-i5-9400f-29-ghz-6-core-oemtray-processor-cm8068403358819,https://cdna.pcpartpicker.com/static/forever/images/product/04f08a1dee17429cdf0a6021ebe5351d.256p.jpg,6,2.9 GHz,4.1 GHz,Coffee Lake Refresh,65 W,None,
Intel Core i9-9900K,https://pcpartpicker.com/product/z6gzK8/intel-core-i9-9900k-36ghz-8-core-oemtray-processor-cm8068403873914,https://cdna.pcpartpicker.com/static/forever/images/product/f4d973b5641fed5e6a0ea0116fcd3426.256p.jpg,8,3.6 GHz,5 GHz,Coffee Lake Refresh,95 W,Intel UHD Graphics 630,954.81
AMD Ryzen 5 5600T,https://pcpartpicker.com/product/wJCZxr/amd-ryzen-5-5600t-35-ghz-6-core-processor-100-000001584box,https://m.media-amazon.com/images/I/31DogRaRuKL.jpg,6,3.5 GHz,4.5 GHz,Zen 3,65 W,None,
Intel Core i3-10105,https://pcpartpicker.com/product/Xht9TW/intel-core-i3-10105-37-ghz-quad-core-processor-bx8070110105,https://cdna.pcpartpicker.com/static/forever/images/product/f4e07d2c312edb86a1afe494ed5cd645.256p.jpg,4,3.7 GHz,4.4 GHz,Comet Lake,65 W,Intel UHD Graphics 630,168.21
Intel Core i5-8500T,https://pcpartpicker.com/product/PLw7YJ/intel-core-i5-8500t-21ghz-6-core-oemtray-processor-cm8068403362509,https://m.media-amazon.com/images/I/41wcBEPMK1L.jpg,6,2.1 GHz,3.5 GHz,Coffee Lake,35 W,Intel UHD Graphics 630,149.00
Intel Core i5-8400,https://pcpartpicker.com/product/NZgPxr/intel-core-i5-8400-28ghz-6-core-oemtray-processor-cm8068403358811,https://cdna.pcpartpicker.com/static/forever/images/product/781c3da4b04a14f5556a6bc7ad7907de.256p.jpg,6,2.8 GHz,4 GHz,Coffee Lake,65 W,Intel UHD Graphics 630,198.95
Intel Core i5-11500,https://pcpartpicker.com/product/FsXJ7P/intel-core-i5-11500-27-ghz-6-core-processor-bx8070811500,https://cdna.pcpartpicker.com/static/forever/images/product/ed81b3f4911beef4ee212f49dec938ee.256p.jpg,6,2.7 GHz,4.6 GHz,Rocket Lake,65 W,Intel UHD Graphics 750,189.00
AMD Ryzen 5 3600,https://pcpartpicker.com/product/Mt92FT/amd-ryzen-5-3600-36-ghz-6-core-oemtray-processor-100-100000031mpk,https://cdna.pcpartpicker.com/static/forever/images/product/03f161573f98c93ea9f3e36c4254956e.256p.jpg,6,3.6 GHz,4.2 GHz,Zen 2,65 W,None,
AMD Threadripper 2950X,https://pcpartpicker.com/product/bnrmP6/amd-threadripper-2950x-35ghz-16-core-processor-yd295xa8afwof,https://cdna.pcpartpicker.com/static/forever/images/product/09734bbf8632da3f135375bbb4ea6f94.256p.jpg,16,3.5 GHz,4.4 GHz,Zen+,180 W,None,1100.00
Intel Core i7-5820K,https://pcpartpicker.com/product/6tXfrH/intel-cpu-bx80648i75820k,https://m.media-amazon.com/images/I/51pPTqeTiRL.jpg,6,3.3 GHz,3.6 GHz,Haswell,140 W,None,
Intel Xeon E5-4620,https://pcpartpicker.com/product/xdZQzy/intel-cpu-bx80621e54620,https://m.media-amazon.com/images/I/51RJN9DPC5L.jpg,8,2.2 GHz,2.6 GHz,Sandy Bridge,95 W,None,58.77
